PhoenixVersion,3.7.2
DQ_PD_median_per_region_100cm_WPSG_02,1
DQ_PD_median_per_region_100cm_WPSG_03,1
DQ_PD_median_per_region_100cm_WPSG_04,1
DQ_PD_median_per_region_100cm_WPSG_05,1
DQ_PD_median_per_region_100cm_WPSG_06,1
DQ_PD_median_per_region_100cm_WPSG_07,1
DQ_PD_median_per_region_100cm_WPSG_08,1
DQ_PD_median_per_region_100cm_WPSG_09,1
DQ_PD_median_per_region_100cm_WPSG_10,1
DQ_PD_median_per_region_100cm_WPSG_11,1
DQ_PD_median_per_region_100cm_WPSG_12,1
DQ_PD_median_per_region_100cm_WPSG_13,1
DQ_PD_median_per_region_100cm_WPSG_14,1
DQ_PD_median_per_region_100cm_WPSG_15,1
DQ_PD_median_per_region_100cm_WPSG_16,1
DQ_PD_median_per_region_100cm_WPSG_17,1
DQ_PD_median_per_region_100cm_WPSG_18,1
